route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000108,OCESN3635F2444857:2023-08-29T11:49:37Z,3635,1,154,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000109,OCESN3635F2507217:2023-09-07T00:36:44Z,3635,1,155,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000110,OCESN3635F2521008:2023-10-05T00:43:30Z,3635,1,156,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000111,OCESN3635F2544229:2023-09-21T00:32:48Z,3635,1,157,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000112,OCESN3635F2545650:2023-09-21T00:32:48Z,3635,1,158,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000113,OCESN3635F2546919:2023-10-05T00:43:30Z,3635,1,159,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000003,OCESN3635F2552568:2023-09-08T00:36:01Z,3635,1,160,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000114,OCESN3635F2553160:2023-09-08T00:36:01Z,3635,1,161,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000115,OCESN3635F2553182:2023-08-29T11:49:37Z,3635,1,162,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000116,OCESN3635F2553707:2023-09-08T00:36:01Z,3635,1,163,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000117,OCESN3635F2584358:2023-09-07T00:36:44Z,3635,1,164,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000089,OCESN3635F2586178:2023-09-09T00:34:34Z,3635,1,165,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000043,OCESN3635F2607498:2023-10-04T00:41:06Z,3635,1,166,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000060,OCESN3638F1793764:2023-09-12T00:35:02Z,3638,0,167,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000061,OCESN3638F2508783:2023-08-29T11:49:37Z,3638,0,168,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000032,OCESN3638F2542955:2023-09-16T00:34:29Z,3638,0,169,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000118,OCESN3644F2173949:2023-08-29T11:49:37Z,3644,0,170,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000119,OCESN3644F2386308:2023-09-09T00:34:34Z,3644,0,171,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000120,OCESN3644F2386337:2023-09-09T00:34:34Z,3644,0,172,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000121,OCESN3644F2386338:2023-09-09T00:34:34Z,3644,0,173,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000122,OCESN3644F2386340:2023-09-09T00:34:34Z,3644,0,174,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000099,OCESN3644F2386344:2023-09-09T00:34:34Z,3644,0,175,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000123,OCESN3644F2386382:2023-09-09T00:34:34Z,3644,0,176,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000098,OCESN3644F2418139:2023-09-09T00:34:34Z,3644,0,177,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000124,OCESN3644F2500105:2023-10-07T00:44:23Z,3644,0,178,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000125,OCESN3644F2508007:2023-09-08T00:36:01Z,3644,0,179,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000126,OCESN3644F2508752:2023-09-09T00:34:34Z,3644,0,180,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000101,OCESN3644F2543112:2023-09-21T00:32:48Z,3644,0,181,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000112,OCESN3644F2543706:2023-08-29T11:49:37Z,3644,0,182,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000043,OCESN3644F2544235:2023-08-29T11:49:37Z,3644,0,183,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000127,OCESN3644F2544240:2023-09-06T00:34:27Z,3644,0,184,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000128,OCESN3644F2566089:2023-09-02T00:39:40Z,3644,0,185,
